id;modified;language;license;collectionCode;basisOfRecord;dynamicProperties;occurrenceID;organismQuantity;organismQuantityType;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;footprintWKT;scientificNameID;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;scientificNameAuthorship;vernacularName
2438_MISTA_Antarctic_Phipoda:0431;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0431;1;individual count;394;414;-60.83333206;-55.65000153;POINT(-55.6500015258789 -60.8333320617676);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0432;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0432;1;individual count;182;213;-61;-55.20000076;POINT(-55.2000007629395 -61);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0433;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0433;1;individual count;232;239;-60.63333511;-46.96666718;POINT(-46.966667175293 -60.6333351135254);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0434;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0434;1;individual count;699;712;-74.59999847;-29.71666718;POINT(-29.716667175293 -74.5999984741211);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0435;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0435;1;individual count;483;484;-74.66666412;-29.70000076;POINT(-29.7000007629395 -74.6666641235352);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0436;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0436;1;individual count;1153;1223;-74.46666718;-29.70000076;POINT(-29.7000007629395 -74.466667175293);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0437;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0437;1;individual count;1996;2012;-74.16666412;-29.70000076;POINT(-29.7000007629395 -74.1666641235352);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0438;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0438;1;individual count;799;810;-74.58333588;-29.66666603;POINT(-29.6666660308838 -74.5833358764648);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0439;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0439;1;individual count;701;708;-74.6333313;-29.63333321;POINT(-29.6333332061768 -74.6333312988281);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0440;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0440;1;individual count;794;805;-74.6166687;-29.60000038;POINT(-29.6000003814697 -74.6166687011719);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0441;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0441;1;individual count;593;602;-74.66666412;-29.53333282;POINT(-29.533332824707 -74.6666641235352);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0442;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0442;1;individual count;451;453;-75.05000305;-28.01666641;POINT(-28.0166664123535 -75.0500030517578);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0443;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0443;1;individual count;404;407;-75.15000153;-27.58333397;POINT(-27.5833339691162 -75.1500015258789);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0444;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0444;1;individual count;500;506;-75.25;-26.21666718;POINT(-26.216667175293 -75.25);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0445;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0445;1;individual count;569;574;-75.26667023;-25.98333359;POINT(-25.9833335876465 -75.2666702270508);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0446;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0446;1;individual count;406;409;-73.44999695;-21.56666756;POINT(-21.5666675567627 -73.4499969482422);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0447;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0447;1;individual count;193;197;-73.58333588;-21.06666756;POINT(-21.0666675567627 -73.5833358764648);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0448;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0448;1;individual count;352;399;-73.28333282;-21;POINT(-21 -73.283332824707);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0449;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0449;1;individual count;294;305;-73.3666687;-20.75;POINT(-20.75 -73.3666687011719);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0450;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0450;1;individual count;2025;2037;-71.15000153;-13.80000019;POINT(-13.8000001907349 -71.1500015258789);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0451;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0451;1;individual count;672;677;-71.19999695;-13.46666622;POINT(-13.4666662216187 -71.1999969482422);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0452;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0452;1;individual count;402;412;-71.19999695;-13.23333359;POINT(-13.2333335876465 -71.1999969482422);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0453;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0453;1;individual count;185;187;-71.26667023;-13.0666666;POINT(-13.0666666030884 -71.2666702270508);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0454;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0454;1;individual count;303;330;-71.66666412;-12.58333302;POINT(-12.5833330154419 -71.6666641235352);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0455;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0455;1;individual count;522;531;-71.09999847;-12.5666666;POINT(-12.5666666030884 -71.0999984741211);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0456;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0456;1;individual count;499;515;-71.09999847;-12.5666666;POINT(-12.5666666030884 -71.0999984741211);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0457;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0457;1;individual count;575;609;-71.53333282;-12.46666622;POINT(-12.4666662216187 -71.533332824707);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0458;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0458;1;individual count;402;450;-71.66666412;-12.35000038;POINT(-12.3500003814697 -71.6666641235352);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0459;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0459;1;individual count;389;423;-71.65000153;-12.35000038;POINT(-12.3500003814697 -71.6500015258789);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0460;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0460;1;individual count;196;212;-71.65000153;-12.16666698;POINT(-12.1666669845581 -71.6500015258789);urn:lsid:marinespecies.org:taxname:237348;Amphilochella simplicarpa;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochella;simplicarpa;Schellenberg;Amphilochella simplicarpa
2438_MISTA_Antarctic_Phipoda:0461;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0461;1;individual count;699;712;-74.59999847;-29.71666718;POINT(-29.716667175293 -74.5999984741211);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0462;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0462;1;individual count;1153;1223;-74.46666718;-29.70000076;POINT(-29.7000007629395 -74.466667175293);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0463;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0463;1;individual count;1996;2012;-74.16666412;-29.70000076;POINT(-29.7000007629395 -74.1666641235352);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0464;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0464;1;individual count;799;810;-74.58333588;-29.66666603;POINT(-29.6666660308838 -74.5833358764648);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0465;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0465;1;individual count;701;708;-74.6333313;-29.63333321;POINT(-29.6333332061768 -74.6333312988281);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0466;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0466;1;individual count;794;805;-74.6166687;-29.60000038;POINT(-29.6000003814697 -74.6166687011719);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0467;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0467;1;individual count;593;602;-74.66666412;-29.53333282;POINT(-29.533332824707 -74.6666641235352);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0468;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0468;1;individual count;451;453;-75.05000305;-28.01666641;POINT(-28.0166664123535 -75.0500030517578);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0469;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0469;1;individual count;404;407;-75.15000153;-27.58333397;POINT(-27.5833339691162 -75.1500015258789);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0470;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0470;1;individual count;500;506;-75.25;-26.21666718;POINT(-26.216667175293 -75.25);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0471;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0471;1;individual count;569;574;-75.26667023;-25.98333359;POINT(-25.9833335876465 -75.2666702270508);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0472;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0472;1;individual count;406;409;-73.44999695;-21.56666756;POINT(-21.5666675567627 -73.4499969482422);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0473;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0473;1;individual count;193;197;-73.58333588;-21.06666756;POINT(-21.0666675567627 -73.5833358764648);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0474;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0474;1;individual count;294;305;-73.3666687;-20.75;POINT(-20.75 -73.3666687011719);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0475;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0475;1;individual count;2025;2037;-71.15000153;-13.80000019;POINT(-13.8000001907349 -71.1500015258789);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0476;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0476;1;individual count;185;187;-71.26667023;-13.0666666;POINT(-13.0666666030884 -71.2666702270508);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0477;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0477;1;individual count;303;330;-71.66666412;-12.58333302;POINT(-12.5833330154419 -71.6666641235352);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0478;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0478;1;individual count;196;212;-71.65000153;-12.16666698;POINT(-12.1666669845581 -71.6500015258789);urn:lsid:marinespecies.org:taxname:101450;Amphilochus;Animalia;Arthropoda;Malacostraca;Amphipoda;Amphilochidae;Amphilochus;;Spence Bate;Amphilochus
2438_MISTA_Antarctic_Phipoda:0479;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0479;1;individual count;303;330;-71.66666412;-12.58333302;POINT(-12.5833330154419 -71.6666641235352);urn:lsid:marinespecies.org:taxname:103090;Andaniotes corpulentus;Animalia;Arthropoda;Malacostraca;Amphipoda;Stegocephalidae;Andaniotes;corpulentus;Thomson;Andaniotes corpulentus
2438_MISTA_Antarctic_Phipoda:0480;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0480;1;individual count;256;296;-61.75347137;-57.99736023;LINESTRING(-58.0255546569824 -61.7480545043945, -57.969165802002 -61.7588882446289);urn:lsid:marinespecies.org:taxname:236961;Andaniotes linearis;Animalia;Arthropoda;Malacostraca;Amphipoda;Stegocephalidae;Andaniotes;linearis;K.H. Barnard;Andaniotes linearis
2438_MISTA_Antarctic_Phipoda:0481;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0481;1;individual count;164;164;-60.89416695;-55.62861061;LINESTRING(-55.6527786254883 -60.9022216796875, -55.6044425964355 -60.8861122131348);urn:lsid:marinespecies.org:taxname:236961;Andaniotes linearis;Animalia;Arthropoda;Malacostraca;Amphipoda;Stegocephalidae;Andaniotes;linearis;K.H. Barnard;Andaniotes linearis
2438_MISTA_Antarctic_Phipoda:0482;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0482;1;individual count;483;484;-74.66666412;-29.70000076;POINT(-29.7000007629395 -74.6666641235352);urn:lsid:marinespecies.org:taxname:236961;Andaniotes linearis;Animalia;Arthropoda;Malacostraca;Amphipoda;Stegocephalidae;Andaniotes;linearis;K.H. Barnard;Andaniotes linearis
2438_MISTA_Antarctic_Phipoda:0483;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0483;1;individual count;446;428;-73.69166565;-22.48333359;LINESTRING(-22.5 -73.6999969482422, -22.466667175293 -73.6833343505859);urn:lsid:marinespecies.org:taxname:236961;Andaniotes linearis;Animalia;Arthropoda;Malacostraca;Amphipoda;Stegocephalidae;Andaniotes;linearis;K.H. Barnard;Andaniotes linearis
2438_MISTA_Antarctic_Phipoda:0484;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0484;1;individual count;338;333;-73.375;-21.1833334;LINESTRING(-21.1666660308838 -73.3666687011719, -21.2000007629395 -73.3833312988281);urn:lsid:marinespecies.org:taxname:236961;Andaniotes linearis;Animalia;Arthropoda;Malacostraca;Amphipoda;Stegocephalidae;Andaniotes;linearis;K.H. Barnard;Andaniotes linearis
2438_MISTA_Antarctic_Phipoda:0485;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0485;1;individual count;352;399;-73.28333282;-21;POINT(-21 -73.283332824707);urn:lsid:marinespecies.org:taxname:236961;Andaniotes linearis;Animalia;Arthropoda;Malacostraca;Amphipoda;Stegocephalidae;Andaniotes;linearis;K.H. Barnard;Andaniotes linearis
2438_MISTA_Antarctic_Phipoda:0486;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0486;1;individual count;246;242;-73.875;-22.42499924;LINESTRING(-22.4333324432373 -73.8833312988281, -22.4166660308838 -73.8666687011719);urn:lsid:marinespecies.org:taxname:237190;Andaniotes pseudolinearis;Animalia;Arthropoda;Malacostraca;Amphipoda;Stegocephalidae;Andaniotes;pseudolinearis;Berge;Andaniotes pseudolinearis
2438_MISTA_Antarctic_Phipoda:0487;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Scuba Diving sampling by hand};2438_MISTA_Antarctic_Phipoda:0487;1;individual count;406;409;-73.44999695;-21.56666756;POINT(-21.5666675567627 -73.4499969482422);urn:lsid:marinespecies.org:taxname:237190;Andaniotes pseudolinearis;Animalia;Arthropoda;Malacostraca;Amphipoda;Stegocephalidae;Andaniotes;pseudolinearis;Berge;Andaniotes pseudolinearis
2438_MISTA_Antarctic_Phipoda:0488;9/09/20;English;CC-BY 4.0;RBINS;HumanObservation;{gear:Bottom trawl (PS)};2438_MISTA_Antarctic_Phipoda:0488;1;individual count;338;333;-73.375;-21.1833334;LINESTRING(-21.1666660308838 -73.3666687011719, -21.2000007629395 -73.3833312988281);urn:lsid:marinespecies.org:taxname:237190;Andaniotes pseudolinearis;Animalia;Arthropoda;Malacostraca;Amphipoda;Stegocephalidae;Andaniotes;pseudolinearis;Berge;Andaniotes pseudolinearis
